Model,Features,R2,CV_R2_Mean,MAE,MAPE,Train_Time
XGBoost,baseline,0.9070380330085754,0.9209754824638366,107411.10425458007,0.1681455900899199,1.31361722946167
XGBoost,pruned_engineered,0.892009437084198,0.9123727440834045,110118.65010034994,0.17201945661534643,1.2140867710113525
XGBoost,full_engineered,0.9017161726951599,0.9116181492805481,105271.30096136527,0.16396997108053343,1.4608869552612305
DecisionTree,baseline,0.856497233654189,0.8755540065515628,134854.6070000719,0.20566433012958826,0.3598928451538086
DecisionTree,pruned_engineered,0.8221694179508482,0.8540998519493085,140444.80044403928,0.2127536900558659,0.45035791397094727
DecisionTree,full_engineered,0.8685305477530693,0.8504819947808271,128059.73929371942,0.1983657573088622,0.3900718688964844
